,carpark_number,lot_type,lots_available,total_lots,update_datetime
0,U9,C,75,400,2019-12-08T01:31:11
0,U26,C,225,651,2019-12-08T01:32:18
0,U25,C,233,625,2019-12-08T01:30:55
0,U24T,C,22,50,2019-12-08T01:31:45
0,U24,C,117,397,2019-12-08T01:31:45
0,U23,C,295,750,2019-12-08T01:30:16
0,U22,C,54,300,2019-12-08T01:30:43
0,U21,C,21,200,2019-12-08T01:31:28
0,U2,C,457,1109,2019-12-08T01:32:02
0,J45,C,159,361,2019-12-08T01:31:21
0,TM25,C,0,127,2019-12-08T01:28:49
0,TM26,C,19,126,2019-12-08T01:28:26
0,TM27,C,151,237,2019-12-08T01:28:36
0,J37,C,30,215,2019-12-08T01:31:47
0,BM1,C,33,60,2019-12-08T01:32:41
0,BM2,C,37,53,2019-12-08T01:32:42
0,BM26,C,316,460,2019-12-08T01:33:03
0,BWM,C,129,220,2019-12-08T01:33:04
0,TBMT,C,12,156,2019-12-08T01:28:51
0,TPM,C,320,384,2019-12-08T01:32:43
0,U29,C,162,338,2019-12-08T01:33:18
0,U27,C,18,20,2019-12-08T01:32:55
0,U18,C,213,500,2019-12-08T01:33:24
0,U30,C,354,500,2019-12-08T01:33:01
0,EPML,C,0,25,2015-12-30T10:38:36
0,TE25,C,143,298,2019-12-08T01:32:49
0,TE3,C,0,19,2019-12-08T01:33:01
0,TE4,C,1,30,2019-12-08T01:32:54
0,U28,C,10,15,2019-12-08T01:33:06
0,A15,C,28,59,2019-12-08T01:32:06
0,BM28,C,6,47,2019-12-08T01:26:56
1,BM28,H,0,1,2019-12-08T01:26:56
2,BM28,Y,4,24,2019-12-08T01:26:56
0,BM30,C,45,46,2019-12-08T01:33:10
1,BM30,H,0,1,2019-12-08T01:33:10
2,BM30,Y,3,5,2019-12-08T01:33:10
0,BTM,C,87,292,2019-12-08T01:33:03
1,BTM,H,0,1,2019-12-08T01:33:03
2,BTM,Y,35,124,2019-12-08T01:33:03
0,BTM2,C,161,496,2019-12-08T01:26:55
1,BTM2,H,0,1,2019-12-08T01:26:55
2,BTM2,Y,40,67,2019-12-08T01:26:55
0,SAM2,C,113,336,2019-12-08T01:33:03
1,SAM2,H,0,1,2019-12-08T01:33:03
2,SAM2,Y,27,122,2019-12-08T01:33:03
0,TBM2,C,55,243,2019-12-08T01:26:49
1,TBM2,H,0,1,2019-12-08T01:26:49
2,TBM2,Y,56,72,2019-12-08T01:26:49
0,TJ34,C,93,350,2019-12-08T01:32:59
0,U31,C,146,348,2019-12-08T01:33:01
0,BL13,C,103,413,2019-12-08T01:33:15
0,HG10,C,298,300,2019-12-08T01:28:42
0,W3,C,217,1000,2018-12-20T03:59:43
0,BJ65,C,93,227,2019-12-08T01:27:45
0,CK19,C,35,68,2019-12-08T01:27:52
0,CK4,C,5,6,2019-12-08T01:27:38
0,CK42,C,370,922,2019-12-08T01:27:39
0,CK7,C,55,306,2019-12-08T01:27:51
0,TW1,C,44,108,2019-12-08T01:27:50
0,TW2,C,112,355,2019-12-08T01:27:47
0,TW3,C,65,338,2019-12-08T01:27:54
0,BL18M,C,286,353,2016-02-04T18:15:45
0,B16,C,239,348,2019-12-08T01:32:17
0,B17,C,238,392,2019-12-08T01:30:31
0,B20,C,36,380,2019-12-08T01:30:17
0,B42,C,69,121,2019-12-08T01:30:19
0,B45,C,34,68,2019-12-08T01:32:31
0,B6,C,98,100,2019-12-08T01:31:25
0,B63,C,56,100,2019-12-08T01:31:47
0,B65,C,264,743,2019-12-08T01:32:30
0,B7,C,49,86,2019-12-08T01:32:17
0,B70,C,28,39,2019-12-08T01:32:51
0,B71,C,134,236,2019-12-08T01:32:10
0,B7A,C,34,129,2019-12-08T01:31:26
0,B8,C,50,105,2019-12-08T01:32:51
0,B80,C,226,247,2019-12-08T01:32:08
0,B84,C,538,551,2019-12-08T01:31:26
0,B88M,C,120,120,2015-03-03T05:02:19
0,B90,C,75,75,2015-03-03T05:02:19
